OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0902,OHIO RIVER,River/Stream,SR4025 SEWICKLEY BR,05030101,,,,,40.5333,-80.1875,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,003,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0905,BEAVER RIVER,River/Stream,SR0588 BR,05030104,,,,,40.7661,-80.3169,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,007,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0910,SHENANGO RIVER,River/Stream,SR3025 BR,05030102,,,,,41.2675,-80.47,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,085,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0922,SLIPPERY ROCK CREEK,River/Stream,SR2005 BR @ CAMP ALLEGHENY,05030105,,,,,40.8839,-80.2336,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,073,,,,,,,,,STORET
SYCEO,Santa Ynez Chumash Environmental Office (California),SYCEO-ZDC_7,Zanja_de_Cota_Creek_Downstream,River/Stream,Location is representative of water quality leaving the Reservation,18060010,,,,,34.6001389,-120.1006389,,,,GPS-Unspecified,NAD83,0,ft,,,,Unknown,US,06,083,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-133528,LAKE MONONA - OLBRICH BEACH,Lake,,07090002,,,,,43.087086,-89.330608,,,,Unknown,NAD83,,,,,,,US,55,025,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-133529,LAKE WINGRA - VILAS BEACH,Lake,,07090002,,,,,43.057824,-89.415242,,,,Unknown,NAD83,,,,,,,US,55,025,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-133542,LAKE MENDOTA - SPRING HARBOR BEACH,Lake,,07090002,,,,,43.08278,-89.46917,,,,Interpolation-Photo,NAD83,,,,,,,US,55,025,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413002,Milwaukee River at Brown Deer Rd,River/Stream,DRAINAGE AREA APPROX 654 SQ MILES. CLOSEST USGS GAGING STATION IS 040870 00. LOCATED ON MILWAUKEE R AT MILWAUKEE COUNTY LINE.,04040003,,,,,43.177666,-87.956053,,,,Unknown,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413013,Menomonee River at Mlwkee At 2nd St,River/Stream,STATION FOR ROGER BANNERMAN	OF MADISON WI	       (608)266-9278 MENOMONEE RIVER AT MILWAUKEE AT 2ND ST BRIDGE RIVER FLOW AFFECTED BY LAKE MICHIGAN. GRAB SAMPLE STATION FOR HARBOR WATER QUALITY SURVEY.,04040003,,,,,43.032419,-87.912262,,,,Unknown,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413071,Lincoln Creek at W Villard Nr 64th,River/Stream,LINCOLN CREEK AT WEST VILLARD AVE NEAR 64TH STREET,04040003,,,,,43.115,-87.990359,,,,Unknown,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413080,Milwaukee River at Silver Spring Dr,River/Stream,MILWAUKEE RIVER AT SILVER SPRING DRIVE,04040003,,,,,43.118657,-87.920046,,,,Unknown,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413775,Milwaukee River at Jones Island At Milwaukee WI,River/Stream,STATION FOR JIM RUPPEL		OF MADISON	       (608)266-2554 STATION ESTABLISHED FOR TRIBUTARY LOAD MONITORING PROJECT DATA WILL SUPPORT LAKE MICHIGAN MASS BALANCE.,04040002,,,,,43.024387,-87.89834,24000,,,Interpolation-Other,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413778,Lincoln Creek at Silver Spring Rd,River/Stream,,04040003,,,,,43.11959,-87.983898,,,,Unknown,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413817,Kinnickinnic River at 11th Street At Milwaukee WI,River/Stream,,04040003,,,,,42.99737,-87.92616,,,,Unknown,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413925,Milwaukee River at East Pleasant St,River/Stream,,04040003,,,,,43.051212,-87.90808,24000,,,Interpolation-Other,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413926,Milwaukee River at West Hampton Ave,River/Stream,,04040003,,,,,43.10417,-87.92556,,,,Interpolation-Photo,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413927,Milwaukee River at North Port Washington Rd,River/Stream,,04040003,,,,,43.10333,-87.91667,,,,Interpolation-Photo,NAD83,,,,,,,US,55,079,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-413928,MILWAUKEE RIVER - AT STH 100 (WEST BROWN DEER RD),River/Stream,"87\00B0 57' 21.4"" W
43\00B0 10' 39.8"" N",,,,,,0,0,,,,Interpolation-Photo,NAD83,,,,,,,US,55,,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-463063,Cedar Creek - Near Cedarburg WI,River/Stream,STATION FOR ROGER BANNERMAN	OF CENTRAL OFFICE      (608)266-9278 OF CEDARBURG AND 10.6KM UPSTREAM FROM MOUTH.  SPATIALLY INTEGRATED GRAB SAMPLING FOR NONPOINT SOURCE MONITORING PROGRAM FOR WISCONSIN RIVERS TRIBUTARY TO LAKE MICHIGAN.,04040003,,,,,43.32305,-87.978616,,,,Unknown,NAD83,,,,,,,US,55,089,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-463098,Milwaukee River at Cth C (Pioneer Rd),River/Stream,STATION FOR JEFFERY STEUR	OF MADISON USGS	       (608)276-3830 PCB LOADING TO LAKE MICHIGAN,04040003,,,,,43.280256,-87.941847,12000,,,Interpolation-Photo,NAD83,,,,,,,US,55,089,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-513007,FLAMBEAU RIVER - LOWER DAM TAILRACE,River/Stream,"old lat long: 45 54 46, 90 26 51.  Corrected lat long provided by Craig Roesler 6/2005.",07050002,,,,,45.913356,-90.447975,,,,Unknown,NAD83,,,,,,,US,55,099,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-513174,Upper Park Falls Flowage - Hines Park Boat Landing,River/Stream,,07050002,,,,,45.942749,-90.438422,,,,Unknown,NAD83,,,,,,,US,55,099,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-513175,Pixley Flowage at Smith Lake County Park Beach,Riverine Impoundment,,07050002,,,,,45.902207,-90.498591,,,,Unknown,NAD83,,,,,,,US,55,099,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-513176,SMITH CREEK - UPSTREAM OF MOUTH,River/Stream,,07050002,,,,,45.912795,-90.490779,,,,Unknown,NAD83,,,,,,,US,55,099,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-513177,Unnamed Creek at Mouth,River/Stream,,07050002,,,,,45.910983,-90.491119,,,,Unknown,NAD83,,,,,,,US,55,099,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-673265,CEDAR CREEK - PLEASANT VALLEY ROAD - 100 FT DOWNSTREAM OF ROAD,River/Stream,originally conflicted w/ 673250 but gave Cedar cr this new #.,04040003,,,,,43.352878,-88.233923,,,,Unknown,NAD83,,,,,,,US,55,131,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-683002,Menomonee River at Pilgrim Rd,River/Stream,"STATION FOR ROGER BANNERMAN	 OF MADISON WI		(608)266-9278 MENOMONEE RIVER AT MENOMONEE FALLS, WI, 46M UPSTREAM FROM PILGRIM RD BRIDGE AT KM 33.9, AUTOMATIC SAMPLER MONITORING UPPER REACHES OF MENOMONEE R WATERSHED INCLUDING URBAN AND AGRICULTU",04040003,,,,,43.173006,-88.103938,,,,Unknown,NAD83,,,,,,,US,55,133,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-683431,Menomonee River at Menomonee Falls WI,River/Stream,,04040003,,,,,43.173004,-88.103935,,,,Unknown,NAD83,,,,,,,US,55,133,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-FB,FIELD BLANK NO LOCATION,River/Stream,"FIELD BLANK, NO LOCATOIN",04060200,,,,,44,-87,,,,Interpolation-Photo,NAD83,,,,,,,US,26,105,,,,,,,,,STORET
