OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,month
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503309,2005-07-05,15:00:00,CDT,USGS-04086600,NWIS-98021739,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503550,2005-07-25,8:55:00,CDT,USGS-04086600,NWIS-40226039,,,,Cryptosporidium,,72.7,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00504433,2005-08-29,10:20:00,CDT,USGS-04086600,NWIS-103001557,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400851,2004-02-17,15:45:00,CST,USGS-040869415,NWIS-51593955,,,,Cryptosporidium,,90.9,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400959,2004-03-05,9:30:00,CST,USGS-040869415,NWIS-51601886,,,,Cryptosporidium,,156,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,3
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00402597,2004-05-11,13:00:00,CDT,USGS-040869415,NWIS-51354922,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405223,2004-07-27,8:45:00,CDT,USGS-040869415,NWIS-51496526,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405700,2004-08-04,13:45:00,CDT,USGS-040869415,NWIS-11112680,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00500145,2004-10-25,13:15:00,CDT,USGS-040869415,NWIS-70268699,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,10
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00500996,2005-02-07,12:40:00,CST,USGS-040869415,NWIS-70308549,,,,Cryptosporidium,,100,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501472,2005-04-07,11:20:00,CDT,USGS-040869415,NWIS-100445196,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,4
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501814,2005-05-10,12:45:00,CDT,USGS-040869415,NWIS-100090972,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503310,2005-07-05,12:30:00,CDT,USGS-040869415,NWIS-97718347,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503556,2005-07-25,11:10:00,CDT,USGS-040869415,NWIS-99714052,,,,Cryptosporidium,,167,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00504436,2005-08-30,8:20:00,CDT,USGS-040869415,NWIS-98416747,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400841,2004-02-17,13:50:00,CST,USGS-04087000,NWIS-51588189,,,,Cryptosporidium,,88.2,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400966,2004-03-06,10:50:00,CST,USGS-04087000,NWIS-51352872,,,,Cryptosporidium,,62.5,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,3
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00402652,2004-05-11,15:15:00,CDT,USGS-04087000,NWIS-51357772,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405213,2004-07-27,11:00:00,CDT,USGS-04087000,NWIS-51737830,,,,Cryptosporidium,,66.7,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405707,2004-08-05,10:15:00,CDT,USGS-04087000,NWIS-10471982,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00500171,2004-10-25,11:40:00,CDT,USGS-04087000,NWIS-70624382,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,10
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501000,2005-02-07,11:10:00,CST,USGS-04087000,NWIS-70419213,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501473,2005-04-07,14:35:00,CDT,USGS-04087000,NWIS-100748877,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,4
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501813,2005-05-10,11:30:00,CDT,USGS-04087000,NWIS-100706477,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503308,2005-07-05,13:00:00,CDT,USGS-04087000,NWIS-97719962,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503549,2005-07-25,10:15:00,CDT,USGS-04087000,NWIS-40110107,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00504441,2005-08-30,10:05:00,CDT,USGS-04087000,NWIS-40059302,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400853,2004-02-18,12:25:00,CST,USGS-040870195,NWIS-51359242,,,,Cryptosporidium,,34.5,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400964,2004-03-05,13:40:00,CST,USGS-040870195,NWIS-51310219,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,3
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00402672,2004-05-10,12:00:00,CDT,USGS-040870195,NWIS-51408137,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405211,2004-07-26,9:30:00,CDT,USGS-040870195,NWIS-51735883,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405705,2004-08-04,10:15:00,CDT,USGS-040870195,NWIS-10596865,,,,Cryptosporidium,,233,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00500169,2004-10-25,9:30:00,CDT,USGS-040870195,NWIS-70277024,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,10
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501003,2005-02-07,9:00:00,CST,USGS-040870195,NWIS-70431864,,,,Cryptosporidium,,43.8,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501462,2005-04-07,9:00:00,CDT,USGS-040870195,NWIS-100600184,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,4
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501810,2005-05-10,9:00:00,CDT,USGS-040870195,NWIS-100210736,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503313,2005-07-05,9:45:00,CDT,USGS-040870195,NWIS-33976107,,,,Cryptosporidium,,167,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503552,2005-07-25,9:00:00,CDT,USGS-040870195,NWIS-40083385,,,,Cryptosporidium,,782,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00504428,2005-08-29,9:30:00,CDT,USGS-040870195,NWIS-40089818,,,,Cryptosporidium,,100,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400852,2004-02-19,7:15:00,CST,USGS-04087030,NWIS-51596654,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00401531,2004-03-05,12:15:00,CST,USGS-04087030,NWIS-51381935,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,3
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00402580,2004-05-11,10:45:00,CDT,USGS-04087030,NWIS-51352508,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405210,2004-07-26,10:30:00,CDT,USGS-04087030,NWIS-51496423,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405704,2004-08-04,11:30:00,CDT,USGS-04087030,NWIS-48741803,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00500170,2004-10-25,11:15:00,CDT,USGS-04087030,NWIS-70623872,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,10
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501096,2005-02-07,10:45:00,CST,USGS-04087030,NWIS-100737874,,,,Cryptosporidium,,53.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501465,2005-04-07,10:30:00,CDT,USGS-04087030,NWIS-100530199,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,4
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501812,2005-05-10,10:20:00,CDT,USGS-04087030,NWIS-100145833,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503316,2005-07-05,12:15:00,CDT,USGS-04087030,NWIS-97816648,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503555,2005-07-25,10:20:00,CDT,USGS-04087030,NWIS-53480460,,,,Cryptosporidium,,152,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00504439,2005-08-29,10:45:00,CDT,USGS-04087030,NWIS-40136842,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400854,2004-02-18,16:00:00,CST,USGS-04087070,NWIS-51305077,,,,Cryptosporidium,,66.7,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400967,2004-03-05,10:45:00,CST,USGS-04087070,NWIS-51364684,,,,Cryptosporidium,,30.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,3
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00402574,2004-05-11,9:00:00,CDT,USGS-04087070,NWIS-51350884,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405212,2004-07-26,11:45:00,CDT,USGS-04087070,NWIS-51491663,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405706,2004-08-04,12:30:00,CDT,USGS-04087070,NWIS-10505731,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00500136,2004-10-26,8:45:00,CDT,USGS-04087070,NWIS-36724687,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,10
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501068,2005-02-08,8:20:00,CST,USGS-04087070,NWIS-70268315,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501463,2005-04-07,12:15:00,CDT,USGS-04087070,NWIS-2978566,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,4
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501811,2005-05-10,11:30:00,CDT,USGS-04087070,NWIS-87049331,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503315,2005-07-05,13:15:00,CDT,USGS-04087070,NWIS-34135294,,,,Cryptosporidium,,100,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503551,2005-07-25,11:00:00,CDT,USGS-04087070,NWIS-40133785,,,,Cryptosporidium,,77.4,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00504438,2005-08-29,11:45:00,CDT,USGS-04087070,NWIS-40234627,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400832,2004-02-19,9:10:00,CST,USGS-04087088,NWIS-51353165,,,,Cryptosporidium,,66.7,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00401283,2004-03-05,9:15:00,CST,USGS-04087088,NWIS-51363225,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,3
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00402670,2004-05-10,10:45:00,CDT,USGS-04087088,NWIS-51405855,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405215,2004-07-26,11:00:00,CDT,USGS-04087088,NWIS-51492181,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00405702,2004-08-04,10:05:00,CDT,USGS-04087088,NWIS-48736326,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00500140,2004-10-26,10:00:00,CDT,USGS-04087088,NWIS-100908690,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,10
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501067,2005-02-08,9:30:00,CST,USGS-04087088,NWIS-69818134,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501468,2005-04-07,11:00:00,CDT,USGS-04087088,NWIS-7657687,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,4
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00501809,2005-05-11,8:15:00,CDT,USGS-04087088,NWIS-86883975,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503320,2005-07-05,13:00:00,CDT,USGS-04087088,NWIS-53655622,,,,Cryptosporidium,,66.7,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00503561,2005-07-26,8:30:00,CDT,USGS-04087088,NWIS-53480307,,,,Cryptosporidium,,286,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00504440,2005-08-30,8:30:00,CDT,USGS-04087088,NWIS-40117876,,,,Cryptosporidium,,33.3,ocyst/100L,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.00400839,2004-02-18,17:30:00,CST,USGS-04087119,NWIS-51584608,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,61230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
